en;nl;de;fr
Welcome;Welkom;Herzlich willkommen;
Please login with your email;Log in met uw mailadres;Melden Sie sich mit Ihrer E-Mail-Adresse an;
Training ready to follow;Training is beschikbaar;Training ist verfügbar;
Show all my training programs;Toon al mijn training programma's;Zeige alle meine Trainingsprogramme;
Are you sure you want to quit;Weet u zeker dat u wilt afsluiten?;Sie sind sicher, dass Sie das Programm beenden möchten?;
Login;Login;Anmeldung;
Email;E-mail;Email;
Password;Wachtwoord;Passwort;
My;Mijn;Meine;
Change information;Change data;Daten ändern;
Certificates;Certificaten;Zertifikate;
Users;Gebruikers;Benutzer;
Overview;Overzicht;Überblick;
Add;Voeg toe;Hinzufügen;
Open;Open;Öffnen;
Edit;Wijzigen;Ändern;
Name;Naam;Name;
Company;Bedrijf;Unternehmen;
Phonenumber;Telefoonnummer;Telefonnummer;
Account rights;Gebruikersrechten;Nutzerrechte;
Exam;Examen;Prüfung;
Training;Training;Ausbildung;
Surname;Achternaam;Nachname;
Residence;Woonplaats;Platz???;
Country;Land;Land;
Function;Beroep;Beruf;
City;Stad;Platz???;
Email;E-mail;Email;
Work phone;Telefoonnummer werk;Arbeitstelefonnummer;
Prive phone;Telefoonnummer privé;Private Telefonnummer;
Language;Taal;Sprache;
Rights;Rechten;Rechte;
Contact information;Contact informatie;Kontakt Informationen;
Personal information;Persoonlijke informatie;Persönliche Informationen;
Workrelated information;Werkgerelateerde informatie;Arbeitsbezogene Informationen;
Save changes;Wijzigingen opslaan;Änderungen speichern;
Preferences;Voorkeuren;Einstellungen;
Close;Afsluiten;Herunterfahren;
Blocked;Geblokkeerd;Gesprerrt;
Home;Home;Home;
Welcome;Welkom;Herzlich willkommen;
Profile;Profiel;Profil;
Settings;Instellingen;Einstellungen;
Training;Training;Ausbildung;
Progress;Voortgang;Fortschritt;
Exams;Examens;Prüfungen;
Messages;Berichten;Mitteilungen;
Admin;Admin;Admin;
Help;Help;Hilfe;
Quit;Afsluiten;Herunterfahren;
Training;Training;Ausbildung;
Questions;Vragen;Fragen;
Next;Volgende;Nächster;
Previous;Vorige;Zurück;
Complete;Compleet;Komplett;
Results;Resultaten;Ergebnisse;
Summary;Overzicht;Überblick;
Score;Score;Ergebnis;
Mark;Cijfer;Note;
Outcome;Resultaat;Ergebnis;
Amount;Aantal;Menge???;
Questions;Vragen;Fragen;
Correct;Correct;Richtig;
Partly correct;Gedeeltelijk correct;Teilweise richtig;
Wrong;Fout;Falsch;
Not answered;Niet beantwoord;Nicht beantwortet;
Save;Opslaan;Speichern;
Training program;Trainingsprogramma;;
;Antwoorden;;
;Controleren;;
;Correcte antwoorden;;
Show all progress;Bekijk gehele voortgang;;
;Er zijn eindtoetsen beschikbaar;;
;Onderdeel;;
;Hoofdstuk;;
;Hervat training;;